FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
tket,20260114,10:02:56,seca_n11,1,11,26,36,62,256.87,37.9,0.0047,2.9772,2.9872
tket,20260114,10:02:56,seca_n11,2,11,26,36,62,256.54,37.1,0.0006,2.9901,2.9973
tket,20260114,10:02:56,seca_n11,3,11,26,36,62,256.68,34.8,0.0006,3.2421,3.2523
tket,20260114,10:02:56,seca_n11,4,11,26,36,62,257.21,39.0,0.0007,2.8696,2.8777
tket,20260114,10:02:56,seca_n11,5,11,26,36,62,257.3,38.0,0.0027,2.9442,2.9541
tket,20260114,10:02:56,seca_n11,6,11,26,36,62,256.76,39.4,0.0027,2.8929,2.8973
tket,20260114,10:02:56,seca_n11,7,11,26,36,62,256.78,41.4,0.0005,2.6827,2.6923
tket,20260114,10:02:56,seca_n11,8,11,26,36,62,256.86,36.3,0.0027,3.1104,3.1196
tket,20260114,10:02:56,seca_n11,9,11,26,36,62,256.98,39.6,0.0008,2.8457,2.8541
tket,20260114,10:02:56,seca_n11,10,11,26,36,62,256.91,40.1,0.0047,2.8628,2.8722
