FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
tket,20260130,12:20:03,seca_n11,1,11,26,36,62,256.34,38.5,0.0028,2.9858,3.0026
tket,20260130,12:20:03,seca_n11,2,11,26,36,62,256.62,37.4,0.0006,3.1,3.1082
tket,20260130,12:20:03,seca_n11,3,11,26,36,62,257.19,38.1,0.0006,2.9666,2.9728
tket,20260130,12:20:03,seca_n11,4,11,26,36,62,257.1,38.9,0.0007,3.0067,3.0129
tket,20260130,12:20:03,seca_n11,5,11,26,36,62,257.11,42.4,0.0068,2.6552,2.6646
tket,20260130,12:20:03,seca_n11,6,11,26,36,62,256.73,40.3,0.0016,2.8009,2.8111
tket,20260130,12:20:03,seca_n11,7,11,26,36,62,257.11,39.4,0.0037,2.735,2.7502
tket,20260130,12:20:03,seca_n11,8,11,26,36,62,257.15,42.1,0.0007,2.7338,2.7381
tket,20260130,12:20:03,seca_n11,9,11,26,36,62,257.33,38.8,0.0027,2.9592,2.9695
tket,20260130,12:20:03,seca_n11,10,11,26,36,62,256.55,34.9,0.0007,3.3507,3.359
