FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
cirq,20260130,14:04:08,dnn_n16,1,16,1632,384,2016,216.34,42.0,0.131,3.5158,3.6467
cirq,20260130,14:04:08,dnn_n16,2,16,1632,384,2016,216.17,36.6,0.1632,4.0164,4.1796
cirq,20260130,14:04:08,dnn_n16,3,16,1632,384,2016,216.72,36.4,0.0979,4.0743,4.1722
cirq,20260130,14:04:08,dnn_n16,4,16,1632,384,2016,216.38,35.8,0.1888,4.1372,4.326
cirq,20260130,14:04:08,dnn_n16,5,16,1632,384,2016,215.92,37.8,0.1042,4.0281,4.1323
cirq,20260130,14:04:08,dnn_n16,6,16,1632,384,2016,216.17,37.4,0.1517,3.9414,4.0931
cirq,20260130,14:04:08,dnn_n16,7,16,1632,384,2016,216.1,38.2,0.0983,3.9285,4.0267
cirq,20260130,14:04:08,dnn_n16,8,16,1632,384,2016,216.29,36.2,0.0999,4.1231,4.2229
cirq,20260130,14:04:08,dnn_n16,9,16,1632,384,2016,216.62,35.3,0.1206,4.2106,4.3312
cirq,20260130,14:04:08,dnn_n16,10,16,1632,384,2016,216.54,46.5,0.0651,3.1833,3.2484
