FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
cirq,20260130,12:29:34,dnn_n16,1,16,1632,384,2016,216.04,36.1,0.1208,4.3951,4.5159
cirq,20260130,12:29:34,dnn_n16,2,16,1632,384,2016,216.04,35.6,0.0871,4.6542,4.7414
cirq,20260130,12:29:34,dnn_n16,3,16,1632,384,2016,216.3,41.0,0.1166,3.7894,3.906
cirq,20260130,12:29:34,dnn_n16,4,16,1632,384,2016,216.32,38.3,0.1105,4.0935,4.204
cirq,20260130,12:29:34,dnn_n16,5,16,1632,384,2016,215.8,40.2,0.1114,3.868,3.9794
cirq,20260130,12:29:34,dnn_n16,6,16,1632,384,2016,216.3,36.4,0.0638,4.3854,4.4492
cirq,20260130,12:29:34,dnn_n16,7,16,1632,384,2016,216.31,34.8,0.103,4.5506,4.6536
cirq,20260130,12:29:34,dnn_n16,8,16,1632,384,2016,216.44,37.7,0.1026,4.1103,4.2129
cirq,20260130,12:29:34,dnn_n16,9,16,1632,384,2016,216.23,41.0,0.1263,3.7269,3.8532
cirq,20260130,12:29:34,dnn_n16,10,16,1632,384,2016,215.79,35.0,0.089,4.5355,4.6245
