FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
cirq,20260219,15:43:21,dnn_n16,1,16,1632,384,0,2016,216.67,35.4,0.1544,4.2545,4.409
cirq,20260219,15:43:21,dnn_n16,2,16,1632,384,0,2016,216.3,38.1,0.0902,4.0858,4.176
cirq,20260219,15:43:21,dnn_n16,3,16,1632,384,0,2016,216.04,35.8,0.136,4.364,4.5
cirq,20260219,15:43:21,dnn_n16,4,16,1632,384,0,2016,216.42,36.1,0.1076,4.7137,4.8213
cirq,20260219,15:43:21,dnn_n16,5,16,1632,384,0,2016,215.95,39.2,0.0973,3.9334,4.0307
cirq,20260219,15:43:21,dnn_n16,6,16,1632,384,0,2016,216.16,37.5,0.1107,4.0492,4.1599
cirq,20260219,15:43:21,dnn_n16,7,16,1632,384,0,2016,216.25,36.6,0.1064,4.16,4.2664
cirq,20260219,15:43:21,dnn_n16,8,16,1632,384,0,2016,216.09,37.4,0.105,4.139,4.2441
cirq,20260219,15:43:21,dnn_n16,9,16,1632,384,0,2016,216.42,36.7,0.1101,4.2256,4.3357
cirq,20260219,15:43:21,dnn_n16,10,16,1632,384,0,2016,215.92,37.5,0.1073,4.0788,4.186
