FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
tket,20260219,15:19:24,toffoli_n3,1,3,24,6,0,30,255.25,52.2,0.0003,0.2103,0.2117
tket,20260219,15:19:24,toffoli_n3,2,3,24,6,0,30,255.84,39.3,0.0003,0.2797,0.2812
tket,20260219,15:19:24,toffoli_n3,3,3,24,6,0,30,255.54,37.8,0.0024,0.3153,0.3239
tket,20260219,15:19:24,toffoli_n3,4,3,24,6,0,30,255.7,27.7,0.0003,0.3973,0.4159
tket,20260219,15:19:24,toffoli_n3,5,3,24,6,0,30,254.97,37.1,0.0003,0.2691,0.2806
tket,20260219,15:19:24,toffoli_n3,6,3,24,6,0,30,255.06,28.2,0.0003,0.3903,0.3988
tket,20260219,15:19:24,toffoli_n3,7,3,24,6,0,30,255.23,35.8,0.0003,0.3069,0.3085
tket,20260219,15:19:24,toffoli_n3,8,3,24,6,0,30,255.36,47.8,0.0028,0.2273,0.2312
tket,20260219,15:19:24,toffoli_n3,9,3,24,6,0,30,255.36,40.3,0.0023,0.2702,0.279
tket,20260219,15:19:24,toffoli_n3,10,3,24,6,0,30,255.14,47.3,0.0003,0.2322,0.2356
