FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
tket,20260401,08:30:16,toffoli_n3,1,3,24,6,0,30,255.48,31.9,0.0003,0.3447,0.3551
tket,20260401,08:30:16,toffoli_n3,2,3,24,6,0,30,255.41,46.7,0.0003,0.2565,0.2579
tket,20260401,08:30:16,toffoli_n3,3,3,24,6,0,30,255.1,39.9,0.0003,0.2756,0.2793
tket,20260401,08:30:16,toffoli_n3,4,3,24,6,0,30,255.56,24.5,0.0003,0.4488,0.4543
tket,20260401,08:30:16,toffoli_n3,5,3,24,6,0,30,255.59,36.0,0.0003,0.3051,0.3086
tket,20260401,08:30:16,toffoli_n3,6,3,24,6,0,30,255.44,41.1,0.0003,0.2675,0.2751
tket,20260401,08:30:16,toffoli_n3,7,3,24,6,0,30,255.49,30.4,0.0024,0.3589,0.3623
tket,20260401,08:30:16,toffoli_n3,8,3,24,6,0,30,255.52,38.5,0.0003,0.2852,0.2915
tket,20260401,08:30:16,toffoli_n3,9,3,24,6,0,30,255.84,39.8,0.0003,0.3012,0.3074
tket,20260401,08:30:16,toffoli_n3,10,3,24,6,0,30,255.18,23.5,0.0003,0.5095,0.5417
