FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
tket,20251227,12:48:33,toffoli_n3,1,3,24,6,30,255.22,42.9,0.0003,0.2557,0.2592
tket,20251227,12:48:33,toffoli_n3,2,3,24,6,30,255.56,33.1,0.0003,0.3618,0.3704
tket,20251227,12:48:33,toffoli_n3,3,3,24,6,30,255.52,23.1,0.0003,0.4762,0.4816
tket,20251227,12:48:33,toffoli_n3,4,3,24,6,30,255.68,38.3,0.0003,0.2607,0.2655
tket,20251227,12:48:33,toffoli_n3,5,3,24,6,30,255.14,39.7,0.0003,0.277,0.2827
tket,20251227,12:48:33,toffoli_n3,6,3,24,6,30,255.51,38.6,0.0044,0.3062,0.315
tket,20251227,12:48:33,toffoli_n3,7,3,24,6,30,255.89,39.4,0.0003,0.2789,0.2843
tket,20251227,12:48:33,toffoli_n3,8,3,24,6,30,254.84,35.0,0.0003,0.3137,0.3308
tket,20251227,12:48:33,toffoli_n3,9,3,24,6,30,255.02,39.8,0.0003,0.2761,0.2836
tket,20251227,12:48:33,toffoli_n3,10,3,24,6,30,255.59,36.6,0.0044,0.2961,0.3057
