FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
tket,20260114,09:20:25,dnn_n16,1,16,1632,384,2016,270.68,42.5,0.0332,8.7014,8.752
tket,20260114,09:20:25,dnn_n16,2,16,1632,384,2016,270.74,49.0,0.0174,7.3704,7.4618
tket,20260114,09:20:25,dnn_n16,3,16,1632,384,2016,270.92,49.4,0.03,7.1899,7.2473
tket,20260114,09:20:25,dnn_n16,4,16,1632,384,2016,270.51,45.3,0.0233,7.8345,7.925
tket,20260114,09:20:25,dnn_n16,5,16,1632,384,2016,270.7,45.3,0.0222,7.7562,7.8346
tket,20260114,09:20:25,dnn_n16,6,16,1632,384,2016,270.65,44.8,0.0258,7.9447,8.0189
tket,20260114,09:20:25,dnn_n16,7,16,1632,384,2016,270.27,45.4,0.0174,7.8086,7.8627
tket,20260114,09:20:25,dnn_n16,8,16,1632,384,2016,270.97,56.3,0.024,6.211,6.2635
tket,20260114,09:20:25,dnn_n16,9,16,1632,384,2016,270.79,66.1,0.0247,5.0296,5.0822
tket,20260114,09:20:25,dnn_n16,10,16,1632,384,2016,270.38,62.4,0.0155,5.4476,5.4953
