FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
tket,20260206,09:32:19,dnn_n16,1,16,1632,384,0,2016,270.35,54.2,0.0248,6.1784,6.2392
tket,20260206,09:32:19,dnn_n16,2,16,1632,384,0,2016,270.29,58.5,0.0165,5.9637,6.0052
tket,20260206,09:32:19,dnn_n16,3,16,1632,384,0,2016,270.91,67.1,0.0292,5.0559,5.11
tket,20260206,09:32:19,dnn_n16,4,16,1632,384,0,2016,270.69,62.5,0.0146,5.3008,5.3494
tket,20260206,09:32:19,dnn_n16,5,16,1632,384,0,2016,270.21,64.2,0.0149,5.2365,5.2931
tket,20260206,09:32:19,dnn_n16,6,16,1632,384,0,2016,270.52,62.7,0.0169,5.373,5.4255
tket,20260206,09:32:19,dnn_n16,7,16,1632,384,0,2016,270.18,61.4,0.0177,5.6527,5.6952
tket,20260206,09:32:19,dnn_n16,8,16,1632,384,0,2016,270.53,63.5,0.0144,5.1386,5.1859
tket,20260206,09:32:19,dnn_n16,9,16,1632,384,0,2016,270.77,62.3,0.017,5.5712,5.6347
tket,20260206,09:32:19,dnn_n16,10,16,1632,384,0,2016,270.65,64.3,0.0109,5.2782,5.3245
