FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
tket,20251227,12:49:56,qft_n4,1,4,6,6,12,256.16,36.2,0.0003,0.5518,0.5576
tket,20251227,12:49:56,qft_n4,2,4,6,6,12,255.51,32.7,0.0044,0.6375,0.6498
tket,20251227,12:49:56,qft_n4,3,4,6,6,12,255.35,76.6,0.0003,0.2606,0.2704
tket,20251227,12:49:56,qft_n4,4,4,6,6,12,255.66,39.3,0.0003,0.5089,0.5176
tket,20251227,12:49:56,qft_n4,5,4,6,6,12,256.03,39.3,0.0003,0.5084,0.5221
tket,20251227,12:49:56,qft_n4,6,4,6,6,12,255.68,38.6,0.0043,0.4878,0.4956
tket,20251227,12:49:56,qft_n4,7,4,6,6,12,255.5,55.9,0.0003,0.3576,0.3684
tket,20251227,12:49:56,qft_n4,8,4,6,6,12,255.64,74.1,0.0003,0.2694,0.2732
tket,20251227,12:49:56,qft_n4,9,4,6,6,12,255.25,43.5,0.0013,0.4586,0.4705
tket,20251227,12:49:56,qft_n4,10,4,6,6,12,255.76,42.5,0.0003,0.4697,0.4723
