FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
tket,20260401,08:28:40,adder_n4,1,4,25,10,0,35,255.76,33.5,0.0003,0.8648,0.8683
tket,20260401,08:28:40,adder_n4,2,4,25,10,0,35,255.65,38.9,0.0003,0.6937,0.6992
tket,20260401,08:28:40,adder_n4,3,4,25,10,0,35,255.57,35.5,0.0004,0.789,0.7947
tket,20260401,08:28:40,adder_n4,4,4,25,10,0,35,255.18,33.9,0.0003,0.8253,0.8329
tket,20260401,08:28:40,adder_n4,5,4,25,10,0,35,255.17,33.9,0.0044,0.8218,0.8296
tket,20260401,08:28:40,adder_n4,6,4,25,10,0,35,256.14,44.1,0.0003,0.6345,0.6452
tket,20260401,08:28:40,adder_n4,7,4,25,10,0,35,256.18,33.2,0.0003,0.8434,0.8457
tket,20260401,08:28:40,adder_n4,8,4,25,10,0,35,256.0,39.1,0.0044,0.7116,0.7172
tket,20260401,08:28:40,adder_n4,9,4,25,10,0,35,255.59,33.7,0.0004,0.8017,0.8062
tket,20260401,08:28:40,adder_n4,10,4,25,10,0,35,255.82,30.3,0.0003,0.8919,0.8983
