FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
tket,20251227,12:47:05,adder_n4,1,4,25,10,35,255.16,50.7,0.0024,0.4902,0.5019
tket,20251227,12:47:05,adder_n4,2,4,25,10,35,255.3,62.6,0.0003,0.3987,0.4001
tket,20251227,12:47:05,adder_n4,3,4,25,10,35,255.52,37.9,0.0003,0.6851,0.6966
tket,20251227,12:47:05,adder_n4,4,4,25,10,35,255.85,40.3,0.0071,0.6633,0.6735
tket,20251227,12:47:05,adder_n4,5,4,25,10,35,255.81,38.1,0.0004,0.6562,0.6608
tket,20251227,12:47:05,adder_n4,6,4,25,10,35,255.28,37.2,0.0003,0.7795,0.7837
tket,20251227,12:47:05,adder_n4,7,4,25,10,35,255.44,41.0,0.0044,0.6538,0.6734
tket,20251227,12:47:05,adder_n4,8,4,25,10,35,255.19,38.0,0.0003,0.7078,0.7093
tket,20251227,12:47:05,adder_n4,9,4,25,10,35,256.08,41.9,0.0003,0.6196,0.6281
tket,20251227,12:47:05,adder_n4,10,4,25,10,35,255.29,36.4,0.0004,0.7694,0.777
