FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
cirq,20251227,12:49:58,qft_n4,1,4,6,6,12,200.0,57.4,0.0012,0.0143,0.0358
cirq,20251227,12:49:58,qft_n4,2,4,6,6,12,199.84,36.8,0.0036,0.025,0.0555
cirq,20251227,12:49:58,qft_n4,3,4,6,6,12,200.25,37.8,0.0086,0.0424,0.0845
cirq,20251227,12:49:58,qft_n4,4,4,6,6,12,200.09,38.5,0.0014,0.0301,0.053
cirq,20251227,12:49:58,qft_n4,5,4,6,6,12,200.25,34.0,0.0046,0.0512,0.0894
cirq,20251227,12:49:58,qft_n4,6,4,6,6,12,200.02,58.8,0.0034,0.0277,0.0521
cirq,20251227,12:49:58,qft_n4,7,4,6,6,12,200.02,27.0,0.0033,0.0385,0.0772
cirq,20251227,12:49:58,qft_n4,8,4,6,6,12,200.92,40.6,0.0013,0.0276,0.0524
cirq,20251227,12:49:58,qft_n4,9,4,6,6,12,199.86,68.5,0.0013,0.0297,0.0449
cirq,20251227,12:49:58,qft_n4,10,4,6,6,12,199.87,64.9,0.0014,0.0246,0.0483
