FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
qiskit,20260401,08:29:05,toffoli_n3,1,3,12,6,0,18,129.84,37.3,0.0004,2.2251,2.2255
qiskit,20260401,08:29:05,toffoli_n3,2,3,12,6,0,18,129.45,37.6,0.0004,2.2615,2.262
qiskit,20260401,08:29:05,toffoli_n3,3,3,12,6,0,18,129.42,33.4,0.0004,2.5757,2.5761
qiskit,20260401,08:29:05,toffoli_n3,4,3,12,6,0,18,129.58,35.6,0.0015,2.3837,2.3852
qiskit,20260401,08:29:05,toffoli_n3,5,3,12,6,0,18,129.7,33.5,0.0004,2.5656,2.5661
qiskit,20260401,08:29:05,toffoli_n3,6,3,12,6,0,18,129.37,43.9,0.0005,1.8695,1.8699
qiskit,20260401,08:29:05,toffoli_n3,7,3,12,6,0,18,129.13,32.2,0.0005,2.6355,2.6359
qiskit,20260401,08:29:05,toffoli_n3,8,3,12,6,0,18,129.47,32.7,0.0005,2.596,2.5965
qiskit,20260401,08:29:05,toffoli_n3,9,3,12,6,0,18,129.59,35.6,0.0004,2.3053,2.3057
qiskit,20260401,08:29:05,toffoli_n3,10,3,12,6,0,18,129.8,32.8,0.0005,2.5634,2.5639
