FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
cirq,20260401,09:34:29,bell_n4,1,4,26,7,0,33,199.36,37.3,0.0058,0.0476,0.0535
cirq,20260401,09:34:29,bell_n4,2,4,26,7,0,33,199.54,40.3,0.0017,0.0478,0.0495
cirq,20260401,09:34:29,bell_n4,3,4,26,7,0,33,198.56,54.5,0.0037,0.0329,0.0366
cirq,20260401,09:34:29,bell_n4,4,4,26,7,0,33,198.81,112.3,0.0017,0.0161,0.0177
cirq,20260401,09:34:29,bell_n4,5,4,26,7,0,33,199.8,116.0,0.0016,0.0156,0.0172
cirq,20260401,09:34:29,bell_n4,6,4,26,7,0,33,199.43,110.2,0.0019,0.0162,0.0181
cirq,20260401,09:34:29,bell_n4,7,4,26,7,0,33,199.44,115.3,0.0016,0.0156,0.0173
cirq,20260401,09:34:29,bell_n4,8,4,26,7,0,33,199.06,49.9,0.0038,0.0362,0.04
cirq,20260401,09:34:29,bell_n4,9,4,26,7,0,33,198.92,57.0,0.0046,0.0303,0.035
cirq,20260401,09:34:29,bell_n4,10,4,26,7,0,33,199.12,57.7,0.0016,0.0157,0.0173
