FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
cirq,20251227,16:29:56,adder_n4,1,4,25,10,35,200.6,25.1,0.0103,0.0739,0.1229
cirq,20251227,16:29:56,adder_n4,2,4,25,10,35,200.55,40.1,0.0037,0.0605,0.1007
cirq,20251227,16:29:56,adder_n4,3,4,25,10,35,200.15,25.6,0.0099,0.1002,0.1611
cirq,20251227,16:29:56,adder_n4,4,4,25,10,35,200.29,46.5,0.0016,0.0478,0.0921
cirq,20251227,16:29:56,adder_n4,5,4,25,10,35,200.67,29.3,0.0137,0.0646,0.1034
cirq,20251227,16:29:56,adder_n4,6,4,25,10,35,199.81,20.8,0.0085,0.1356,0.1935
cirq,20251227,16:29:56,adder_n4,7,4,25,10,35,200.59,30.4,0.0056,0.067,0.1016
cirq,20251227,16:29:56,adder_n4,8,4,25,10,35,200.43,29.0,0.0037,0.0678,0.1085
cirq,20251227,16:29:56,adder_n4,9,4,25,10,35,200.62,26.3,0.0057,0.0734,0.1587
cirq,20251227,16:29:56,adder_n4,10,4,25,10,35,199.82,24.6,0.0056,0.0811,0.1269
