FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
cirq,20251227,16:59:48,adder_n4,1,4,25,10,35,200.25,32.2,0.0056,0.0772,0.0828
cirq,20251227,16:59:48,adder_n4,2,4,25,10,35,199.98,33.5,0.0027,0.0637,0.0663
cirq,20251227,16:59:48,adder_n4,3,4,25,10,35,200.14,44.2,0.0037,0.0626,0.0663
cirq,20251227,16:59:48,adder_n4,4,4,25,10,35,200.14,50.9,0.0016,0.0529,0.0546
cirq,20251227,16:59:48,adder_n4,5,4,25,10,35,200.16,45.8,0.009,0.0498,0.0588
cirq,20251227,16:59:48,adder_n4,6,4,25,10,35,200.13,47.4,0.0027,0.0565,0.0593
cirq,20251227,16:59:48,adder_n4,7,4,25,10,35,200.04,62.1,0.0058,0.0303,0.0362
cirq,20251227,16:59:48,adder_n4,8,4,25,10,35,200.41,51.9,0.0038,0.048,0.0518
cirq,20251227,16:59:48,adder_n4,9,4,25,10,35,199.7,26.5,0.0057,0.0924,0.0981
cirq,20251227,16:59:48,adder_n4,10,4,25,10,35,200.85,27.8,0.0057,0.0652,0.0709
