FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
cirq,20260401,08:32:24,adder_n4,1,4,25,10,0,35,199.35,23.6,0.0058,0.0364,0.0422
cirq,20260401,08:32:24,adder_n4,2,4,25,10,0,35,198.58,35.5,0.0057,0.0224,0.0281
cirq,20260401,08:32:24,adder_n4,3,4,25,10,0,35,199.41,28.1,0.0016,0.0339,0.0354
cirq,20260401,08:32:24,adder_n4,4,4,25,10,0,35,198.81,64.6,0.0038,0.0271,0.0309
cirq,20260401,08:32:24,adder_n4,5,4,25,10,0,35,198.97,31.5,0.0057,0.026,0.0316
cirq,20260401,08:32:24,adder_n4,6,4,25,10,0,35,199.06,61.0,0.0038,0.0249,0.0287
cirq,20260401,08:32:24,adder_n4,7,4,25,10,0,35,198.9,23.7,0.0049,0.0372,0.0421
cirq,20260401,08:32:24,adder_n4,8,4,25,10,0,35,198.79,33.0,0.006,0.0545,0.0605
cirq,20260401,08:32:24,adder_n4,9,4,25,10,0,35,198.86,22.4,0.0058,0.0387,0.0445
cirq,20260401,08:32:24,adder_n4,10,4,25,10,0,35,199.08,74.5,0.0016,0.0117,0.0133
