FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
tket,20251227,12:43:01,bell_n4,1,4,26,7,33,255.34,42.4,0.0004,0.3063,0.3151
tket,20251227,12:43:01,bell_n4,2,4,26,7,33,255.62,49.1,0.0003,0.2847,0.2876
tket,20251227,12:43:01,bell_n4,3,4,26,7,33,255.84,62.5,0.0004,0.2235,0.2263
tket,20251227,12:43:01,bell_n4,4,4,26,7,33,255.55,47.8,0.0004,0.2925,0.3024
tket,20251227,12:43:01,bell_n4,5,4,26,7,33,255.43,49.8,0.0053,0.2759,0.2907
tket,20251227,12:43:01,bell_n4,6,4,26,7,33,255.65,46.9,0.0004,0.2766,0.2865
tket,20251227,12:43:01,bell_n4,7,4,26,7,33,255.81,56.3,0.0004,0.2638,0.2717
tket,20251227,12:43:01,bell_n4,8,4,26,7,33,254.88,62.1,0.0004,0.2089,0.2117
tket,20251227,12:43:01,bell_n4,9,4,26,7,33,255.31,106.3,0.0004,0.1313,0.1331
tket,20251227,12:43:01,bell_n4,10,4,26,7,33,255.93,96.3,0.0004,0.1345,0.1384
