FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
cirq,20260219,15:41:16,bigadder_n18,1,18,16,34,16,66,201.38,70.8,0.0047,0.0658,0.0705
cirq,20260219,15:41:16,bigadder_n18,2,18,16,34,16,66,201.19,34.8,0.0092,0.1057,0.1149
cirq,20260219,15:41:16,bigadder_n18,3,18,16,34,16,66,201.0,36.3,0.0066,0.1309,0.1375
cirq,20260219,15:41:16,bigadder_n18,4,18,16,34,16,66,201.28,41.9,0.0047,0.1145,0.1192
cirq,20260219,15:41:16,bigadder_n18,5,18,16,34,16,66,201.41,43.9,0.0061,0.1077,0.1138
cirq,20260219,15:41:16,bigadder_n18,6,18,16,34,16,66,201.47,30.6,0.0066,0.124,0.1307
cirq,20260219,15:41:16,bigadder_n18,7,18,16,34,16,66,200.62,43.8,0.0049,0.1091,0.114
cirq,20260219,15:41:16,bigadder_n18,8,18,16,34,16,66,200.83,49.3,0.0044,0.1171,0.1215
cirq,20260219,15:41:16,bigadder_n18,9,18,16,34,16,66,200.88,36.5,0.0108,0.1262,0.1371
cirq,20260219,15:41:16,bigadder_n18,10,18,16,34,16,66,201.36,33.4,0.0076,0.1421,0.1497
