FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
cirq,20260401,09:32:47,toffoli_n3,1,3,24,6,0,30,199.24,39.0,0.0015,0.024,0.0255
cirq,20260401,09:32:47,toffoli_n3,2,3,24,6,0,30,199.16,110.2,0.0016,0.0255,0.0271
cirq,20260401,09:32:47,toffoli_n3,3,3,24,6,0,30,198.52,39.9,0.0015,0.0235,0.025
cirq,20260401,09:32:47,toffoli_n3,4,3,24,6,0,30,198.91,33.9,0.0026,0.0268,0.0294
cirq,20260401,09:32:47,toffoli_n3,5,3,24,6,0,30,199.14,27.3,0.0014,0.0351,0.0365
cirq,20260401,09:32:47,toffoli_n3,6,3,24,6,0,30,198.54,39.9,0.0014,0.0486,0.05
cirq,20260401,09:32:47,toffoli_n3,7,3,24,6,0,30,198.9,27.7,0.0015,0.0345,0.036
cirq,20260401,09:32:47,toffoli_n3,8,3,24,6,0,30,199.08,42.4,0.0035,0.02,0.0235
cirq,20260401,09:32:47,toffoli_n3,9,3,24,6,0,30,199.27,57.4,0.0014,0.0333,0.0348
cirq,20260401,09:32:47,toffoli_n3,10,3,24,6,0,30,198.24,55.5,0.0055,0.0305,0.036
