FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
cirq,20251227,17:00:53,toffoli_n3,1,3,24,6,30,200.16,24.5,0.0059,0.0939,0.0998
cirq,20251227,17:00:53,toffoli_n3,2,3,24,6,30,199.82,50.2,0.0064,0.05,0.0564
cirq,20251227,17:00:53,toffoli_n3,3,3,24,6,30,199.46,49.4,0.0015,0.0554,0.0569
cirq,20251227,17:00:53,toffoli_n3,4,3,24,6,30,200.76,46.4,0.0036,0.0416,0.0452
cirq,20251227,17:00:53,toffoli_n3,5,3,24,6,30,200.09,56.7,0.0055,0.0409,0.0464
cirq,20251227,17:00:53,toffoli_n3,6,3,24,6,30,199.72,46.8,0.0036,0.0401,0.0436
cirq,20251227,17:00:53,toffoli_n3,7,3,24,6,30,200.32,31.1,0.0036,0.0626,0.0662
cirq,20251227,17:00:53,toffoli_n3,8,3,24,6,30,200.14,48.7,0.0044,0.0359,0.0404
cirq,20251227,17:00:53,toffoli_n3,9,3,24,6,30,199.97,52.2,0.0026,0.0496,0.0522
cirq,20251227,17:00:53,toffoli_n3,10,3,24,6,30,199.86,34.0,0.01,0.0575,0.0675
