FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),EXECUTION-TIME(s),TOTAL-TIME(s)
cirq,20251227,12:48:57,toffoli_n3,1,3,24,6,30,200.05,18.9,0.0056,0.0745,0.1594
cirq,20251227,12:48:57,toffoli_n3,2,3,24,6,30,199.98,41.5,0.0035,0.0486,0.0755
cirq,20251227,12:48:57,toffoli_n3,3,3,24,6,30,199.97,30.8,0.0035,0.063,0.1023
cirq,20251227,12:48:57,toffoli_n3,4,3,24,6,30,200.15,66.1,0.0034,0.037,0.0634
cirq,20251227,12:48:57,toffoli_n3,5,3,24,6,30,199.7,38.6,0.0056,0.0523,0.0816
cirq,20251227,12:48:57,toffoli_n3,6,3,24,6,30,199.86,29.8,0.0026,0.0613,0.1016
cirq,20251227,12:48:57,toffoli_n3,7,3,24,6,30,200.29,34.3,0.0025,0.0521,0.0884
cirq,20251227,12:48:57,toffoli_n3,8,3,24,6,30,200.37,37.1,0.0035,0.0468,0.0817
cirq,20251227,12:48:57,toffoli_n3,9,3,24,6,30,200.04,29.8,0.0015,0.0922,0.1349
cirq,20251227,12:48:57,toffoli_n3,10,3,24,6,30,199.7,41.5,0.0016,0.0496,0.0732
